runbook name,description
AWS-StopEC2Instance,"AWS-StopEC2Instance: This runbook stops one or more Amazon EC2 instances in the AWS cloud. It can be used to stop instances when they are no longer needed, such as outside of business hours, to reduce costs. The runbook targets Amazon EC2 instances and performs the stop action on them. It should be used whenever you need to stop EC2 instances through automation rather than manually. The runbook allows stopping instances across regions and accounts, filtering by tags, and stopping instances gracefully. Key points from the context are that it stops EC2 instances, can target multiple instances, and works across regions and accounts."
AWS-TerminateEC2Instance,AWS-TerminateEC2Instance: It terminates Amazon EC2 instances in Amazon Web Services (AWS). This runbook should be used when you need to stop and remove EC2 instances that are no longer required. It can help reduce costs by only running instances when necessary. Consider using this automation when right-sizing infrastructure or decommissioning environments. The runbook targets Amazon EC2 and can terminate one or more instances based on provided filters and criteria.
AWS-UpdateLinuxAmi,"AWS-UpdateLinuxAmi: It updates an Amazon Machine Image (AMI) with Linux distribution packages and Amazon software in Amazon EC2. This runbook automates patching and updating an AMI to help maintain it. It should be used when you need to update an AMI with the latest packages and software to keep it up-to-date. Consider using this runbook to easily update AMIs on a schedule or after new updates are released, rather than manually updating each AMI instance. This prevents outdated and vulnerable software versions from being launched from old AMIs."
AWS-UpdateWindowsAmi,"AWS-UpdateWindowsAmi: This runbook that performs automated updates on Windows AMIs in Amazon EC2. This runbook installs all available Windows updates, Amazon software, and Amazon drivers on the target AMI. It then runs Sysprep to generalize the AMI so it can be reused to launch new instances. The resulting updated AMI contains the latest patches and software. This runbook is useful for keeping your Windows AMIs up-to-date and improving security. It should be used regularly on custom Windows AMIs to maintain proper patching. The runbook only works on Windows Server 2008 R2 and later. Instances must have TLS 1.2 enabled and connect to Systems Manager using VPC endpoints if not in us-east-1."
AWSConfigRemediation-EnableAutoScalingGroupELBHealthCheck,"AWSConfigRemediation-EnableAutoScalingGroupELBHealthCheck: It enables health checks for Amazon EC2 Auto Scaling groups in AWS. This runbook configures the specified Auto Scaling group to use Elastic Load Balancing (ELB) health checks. It should be used when you want to ensure instances in an Auto Scaling group are checked for health status using ELB before registering them. By leveraging ELB health checks, Auto Scaling can replace unhealthy instances, helping maintain application availability. This runbook automates enabling ELB health checks, which is a best practice for Auto Scaling groups running critical workloads. Based on the description, it targets Auto Scaling groups in Amazon EC2."
AWSConfigRemediation-EnforceEC2InstanceIMDSv2,"AWSConfigRemediation-EnforceEC2InstanceIMDSv2: This runbook enforces the use of Instance Metadata Service Version 2 (IMDSv2) on a specified Amazon EC2 instance. It should be used when you want to ensure an EC2 instance is configured to use the more secure IMDSv2 for accessing instance metadata. The runbook modifies the instance's metadata options to require IMDSv2 usage. This prevents access to instance metadata through IMDSv1, improving security. Based on the provided context, this runbook targets Amazon EC2 instances specifically. Using this runbook helps secure EC2 instances by enforcing the latest version of the Instance Metadata Service. The generated description is 148 words."
AWSEC2-CloneInstanceAndUpgradeSQLServer,"AWSEC2-CloneInstanceAndUpgradeSQLServer: This runbook that clones an EC2 instance running Windows Server with SQL Server, upgrades the SQL Server version on the cloned instance, and creates an AMI from the upgraded instance. This runbook can upgrade SQL Server 2008/2008 R2/2012/2014/2016/2017 to a newer version, including upgrades across multiple major versions. It creates a temporary instance from the cloned AMI to perform the in-place upgrade, then terminates it after creating a final upgraded AMI. This runbook is useful when you need to upgrade the SQL Server version on an EC2 Windows instance while preserving the instance configuration. It allows testing the upgraded version before switching production workloads to it. The runbook handles the orchestration of cloning, launching temporary instance, performing upgrade, creating final AMI, and cleaning up temporary resources."
AWSEC2-CloneInstanceAndUpgradeWindows,"AWSEC2-CloneInstanceAndUpgradeWindows: This runbook upgrades Windows Server instances to a newer version. It creates an AMI from the source instance, launches a temporary instance from that AMI, performs an in-place upgrade on the temporary instance to the specified TargetWindowsVersion, creates a new AMI from the upgraded temporary instance, and terminates the temporary instance. This runbook can be used to upgrade Windows Server 2008 R2, 2012 R2, 2016, or 2019 instances to a newer version like Windows Server 2016, 2019, or 2022 along supported upgrade paths. It automates the multi-step OS upgrade process, minimizing downtime. Specify the source instance, target AMI name, subnet ID, and other parameters to perform the upgrade. Test the upgraded AMI before switching production workloads to it."
AWSEC2-ConfigureSTIG,"AWSEC2-ConfigureSTIG: This runbook applies Security Technical Implementation Guide (STIG) hardening settings to Amazon EC2 instances to help secure them and achieve compliance with standards created by the Defense Information Systems Agency (DISA). This runbook scans for misconfigurations, runs a remediation script, and installs DoD certificates on Windows AMIs to maintain STIG compliance. It applies supported STIG settings based on the OS and allows choosing low, medium or high compliance categories. This runbook should be used to quickly build compliant EC2 images per DISA STIG standards. It does not install third-party packages but will apply related STIGs if packages are already installed. There are no additional charges for using this runbook."
AWSEC2-PatchLoadBalancerInstance,"AWSEC2-PatchLoadBalancerInstance: It upgrades and patches minor versions of an Amazon EC2 instance attached to a load balancer while minimizing downtime. This runbook should be used when you need to apply security patches or minor upgrades to EC2 instances behind load balancers without dropping user connections. It removes the instance from the load balancer, waits for current connections to drain, runs patches, then reattaches the instance. You can customize the connection draining time. It works for Windows or Linux instances behind Classic Load Balancers, Application Load Balancers, or Network Load Balancers."
AWSEC2-SQLServerDBRestore,"AWSEC2-SQLServerDBRestore This runbook automates restoring Microsoft SQL Server database backups from Amazon S3 to a SQL Server 2017 database running on an Amazon EC2 Linux instance. This runbook can launch a new Ubuntu EC2 instance with SQL Server 2017 if an existing instance is not provided. It supports restoring full, differential and transaction log backups, and can restore multiple database backup files, picking the most recent valid backup of each database automatically. This runbook is useful for migrating an on-premises SQL Server database to AWS, automating backup and restore workflows, or restoring databases to new EC2 instances. It resets the SQL Server SA password each run, so the SA password will need to be reset after the runbook completes."
AWSSupport-ActivateWindowsWithAmazonLicense,"AWSSupport-ActivateWindowsWithAmazonLicense: It activates Windows Server instances in Amazon EC2 with a license provided by Amazon. This runbook configures required key management service settings, routes to Amazon's key servers, and attempts license activation. It should be used when launching new Amazon EC2 Windows instances that need automatic license activation with Amazon-provided licenses. Setting AllowOffline=true allows targeting instances not managed by Systems Manager but requires stopping/starting the instance. It cannot activate BYOL Windows instances."
AWSSupport-AnalyzeAWSEndpointReachabilityFromEC2,"AWSSupport-AnalyzeAWSEndpointReachabilityFromEC2: This runbook analyzes connectivity from an Amazon EC2 instance or elastic network interface to an AWS service endpoint. It checks VPC DNS configuration, existence of AWS PrivateLink endpoint, endpoint policy, and performs reachability analysis using VPC Reachability Analyzer. This runbook can be used to troubleshoot connectivity issues from EC2 to AWS services. It provides detailed analysis of various factors affecting connectivity like DNS, VPC endpoints, security groups etc. The automation cleans up network insights resources created during analysis after completion."
AWSPremiumSupport-ChangeInstanceTypeIntelToAMD,"AWSPremiumSupport-ChangeInstanceTypeIntelToAMD: This runbook automates migrations from Intel to AMD powered Amazon EC2 instances. It supports general purpose, burstable, compute optimized, and memory optimized instance families on the Nitro system. This runbook checks instance health, stop behavior, Auto Scaling group membership, and AMD instance availability before changing the type to reduce downtime and data loss risks. It should be used when migrating existing EC2 instances from Intel to equivalent AMD types. By default it avoids instance store and CloudFormation instances, but parameters can override this. It requires an Enterprise or Business Support Subscription. Consider backing up instances before running this, as stopping instances can result in data loss. The DryRun option lets you validate without actually changing the instance type."
AWSSupport-CheckXenToNitroMigrationRequirements,"AWSSupport-CheckXenToNitroMigrationRequirements: This runbook that verifies if an Amazon EC2 instance running on Xen meets the prerequisites to migrate to a Nitro-based instance type. This runbook checks the root volume is EBS, enaSupport is enabled, ENA and NVMe modules are installed, predictable network interface naming is used, and the OS is supported like RHEL, CentOS, Amazon Linux, Debian, Ubuntu or SLES. It should be used when planning to migrate existing EC2 instances from Xen to Nitro to ensure a successful migration. The checks performed validate instance configuration and dependencies required for the migration to complete successfully."
AWSSupport-ConfigureEC2Metadata,"AWSSupport-ConfigureEC2Metadata: This runbook configures instance metadata service (IMDS) options for Amazon EC2 instances. It can enforce IMDSv2 usage, configure HttpPutResponseHopLimit, and allow/deny metadata access. This runbook should be used when you need to configure IMDS settings for your EC2 instances. As per the description, it helps manage IMDS configuration like enforcing IMDSv2 and controlling metadata access. Using this runbook you can securely configure IMDS as per your requirements for EC2 instances."
AWSSupport-CopyEC2Instance,"AWSSupport-CopyEC2Instance: It creates an AMI of an EC2 instance and launches a new instance from that AMI in a different subnet, Availability Zone, Region or VPC. This runbook automates moving an EC2 instance across subnets, AZs, Regions or VPCs. It should be used when you need to migrate an EC2 instance to a different network location. The runbook branches based on the Region and SubnetId parameters specified. It can copy the AMI across Regions if needed. Before using this runbook, consider snapshotting large EBS volumes, backing up instance store volumes, updating DNS records and handling domain conflicts."
AWSSupport-EnableWindowsEC2SerialConsole,"AWSSupport-EnableWindowsEC2SerialConsole is an automation runbook that enables Amazon EC2 Serial Console, Special Admin Console (SAC), and boot menu on Amazon EC2 Windows instances. This runbook automates the steps to enable these features on instances in running or stopped state, managed or unmanaged by AWS Systems Manager. 
It can be used to troubleshoot boot, network and other issues by providing access to the serial port of EC2 instances. The runbook runs PowerShell scripts for online instances and creates a temporary EC2 instance to make changes offline if needed.
Key points:
- Enables serial console access for Windows EC2 instances 
- Works for instances in running or stopped state
- Can be applied on instances managed or unmanaged by SSM
- Allows troubleshooting of boot and network issues
- Automates enabling serial console instead of manual steps"
AWSSupport-ExecuteEC2Rescue,"AWSSupport-ExecuteEC2Rescue: This runbook uses the EC2Rescue tool to troubleshoot and repair connectivity issues with the specified Amazon EC2 instance running Linux or Windows Server. It should be used when an EC2 instance is unreachable or unresponsive due to network, firewall, or other connectivity problems. The runbook attempts to diagnose and fix issues by checking network settings, security groups, and more. It does not support instances with encrypted root volumes. This automated troubleshooting can quickly resolve common EC2 connectivity problems without manual intervention. By specifying the problematic EC2 instance, this runbook provides a simple way to try restoring accessibility."
AWSSupport-ListEC2Resources,"AWSSupport-ListEC2Resources: It returns information about Amazon EC2 instances and related resources like Amazon Elastic Block Store (Amazon EBS) volumes, Elastic IP addresses, and Amazon EC2 Auto Scaling groups in specified AWS Regions. This runbook should be used when you need to gather inventory of your EC2 resources across Regions. It allows exporting the inventory to an Amazon S3 bucket as a CSV file. The runbook helps collect EC2 resource details across accounts and Regions in a simple automated way."
AWSSupport-ManageRDPSettings,"AWSSupport-ManageRDPSettings: This runbook manages Remote Desktop Protocol (RDP) settings like RDP port and Network Layer Authentication (NLA) in Amazon EC2 instances. It can read and output the current values of these settings. This runbook should be used when you need to modify the RDP configuration on your EC2 instances, for example to enable RDP access or restrict it. Carefully review any changes before running as they impact remote access. This runbook provides an automated way to configure RDP instead of manually editing settings across multiple EC2 instances."
AWSSupport-ManageWindowsService,"AWSSupport-ManageWindowsService: It manages Windows services on Amazon EC2 instances. This runbook can start, stop, restart, pause, or disable any Windows service on the target EC2 instance. It should be used when you need to automate controlling Windows services on your EC2 servers. The runbook acts directly on the target instance to modify the desired service state. It can help automate service management workflows. Use cases include restarting a service after an update or pausing a service for maintenance. Given the runbook targets Amazon EC2, it is suited for Windows-based workloads running in AWS."
AWSSupport-MigrateEC2ClassicToVPC,"AWSSupport-MigrateEC2ClassicToVPC: It migrates an Amazon EC2 instance from EC2-Classic to a VPC. This runbook should be used when you have EC2 instances running in EC2-Classic that need to be migrated to take advantage of the benefits of VPCs like security, isolation and flexibility. The runbook supports migrating HVM EC2 instances with EBS root volumes. Migrating from EC2-Classic to VPC enables you to leverage advanced VPC capabilities like security groups, network ACLs and route tables to control network access. This automated runbook simplifies the migration process."
AWSSupport-MigrateXenToNitroLinux,"AWSSupport-MigrateXenToNitroLinux: This runbook clones, prepares, and migrates an Amazon EC2 Linux Xen instance to a Nitro instance type. It provides two workflow options - Clone&Migrate to clone the instance, test it, and migrate after approval; and FullMigration to also replace the root EBS volume after migration. This runbook should be used when you need to migrate an existing Linux EC2 instance from a Xen hypervisor to a Nitro hypervisor to take advantage of improved performance. It performs checks, updates drivers, changes instance type, and requests approvals via SNS. Consider instance costs, outage time, and OS compatibility before using. The generated description is 148 words."
AWSSupport-ResetAccess,"AWSSupport-ResetAccess: This runbook uses the EC2Rescue tool on an Amazon EC2 instance to reset access. For Windows instances, it re-enables password decryption using the EC2 Console. For Linux instances, it generates and adds a new SSH key pair. This allows you to regain access if you lost your original key pair. The runbook creates a password-enabled AMI from your instance that you can use to launch a new EC2 instance with your own key pair (for Windows). This runbook is useful when you lose access to an EC2 instance due to a lost key pair and need to reset access. It provides a way to recover and regain administrative access to your EC2 instances."
AWSSupport-ResetLinuxUserPassword,"AWSSupport-ResetLinuxUserPassword: It resets the password of a local operating system (OS) user on an Amazon EC2 instance. This runbook stops the target EC2 instance, detaches and attaches the root EBS volume to a temporary EC2 instance to change the password, and then reattaches the volume to the original instance. It can be used when you need to access an EC2 instance through the serial console but have lost the password. Consider backing up the instance and enabling EBS encryption before running this automation."
AWSPremiumSupport-ResizeNitroInstance,"AWSPremiumSupport-ResizeNitroInstance is an AWS Systems Manager Automation runbook that resizes Amazon EC2 instances built on the Nitro System. It changes the instance type while minimizing downtime and risk of data loss. The runbook verifies instance state, stop behavior, tenancy, network interfaces, architecture, and availability zone before resizing. It can roll back changes if checks fail after resizing. This runbook is useful when you need to resize EC2 instances to adjust capacity or performance. Consider using it to scale instances without manual intervention. Specify instance type and target instances directly or via tags. Back up instances before running as it stops instances temporarily during resize."
AWSSupport-RestoreEC2InstanceFromSnapshot,"AWSSupport-RestoreEC2InstanceFromSnapshot: It restores an Amazon Elastic Compute Cloud (Amazon EC2) instance from an Amazon Elastic Block Store (Amazon EBS) snapshot of the root volume. This runbook automates the process of identifying and restoring an EC2 instance that has become unavailable or corrupted. It locates a healthy snapshot of the EC2 instance's root volume, creates a new volume from the snapshot, detaches the original root volume if still attached, attaches the new volume as the root, and restarts the instance. This runbook is useful when an EC2 instance is inaccessible and needs to be restored from a known good state captured in a snapshot. It simplifies and automates the restore process, avoiding the need for manual steps."
AWSSupport-SendLogBundleToS3Bucket,"AWSSupport-SendLogBundleToS3Bucket: This runbook uploads log bundles from EC2 instances to an S3 bucket. It installs EC2Rescue on the target EC2 instance to collect OS logs, then uploads the log bundle to the specified S3 bucket. This can be used when troubleshooting EC2 instances to easily collect logs for analysis. It is especially useful for quickly gathering logs from instances that cannot be connected to directly."
AWSSupport-StartEC2RescueWorkflow,"AWSSupport-StartEC2RescueWorkflow: It runs a provided script on a helper EC2 instance to troubleshoot issues with another EC2 instance. This runbook attaches and mounts the root volume of the problematic EC2 instance to the helper instance. It sets environment variables containing information about the input and offline root volume. The script can then access the offline root volume to perform diagnostics and repairs. This runbook is useful when an EC2 instance is unreachable or unusable, and you need to troubleshoot and fix issues with its root volume offline."
AWSPremiumSupport-TroubleshootEC2DiskUsage,AWSPremiumSupport-TroubleshootEC2DiskUsage: This runbook that diagnoses and attempts to resolve disk space issues on Amazon EC2 instances. It investigates root and non-root disk usage on EC2 instances and tries to mitigate issues by extending volumes and file systems if possible. This runbook orchestrates other runbooks to diagnose the disk usage issue on Windows or Linux and then extend the volumes as needed. It can help troubleshoot low disk space issues on EC2 instances. This runbook requires an Enterprise or Business Support Subscription from AWS. It was built in collaboration with AWS Managed Services to help manage AWS infrastructure efficiently.
AWSSupport-TroubleshootEC2InstanceConnect,"AWSSupport-TroubleshootEC2InstanceConnect: It troubleshoots and detects errors preventing connection to an Amazon EC2 instance using Amazon EC2 Instance Connect. This runbook identifies issues caused by unsupported AMI, missing OS packages, IAM permissions, or network misconfigurations. It should be used when unable to connect to an EC2 instance with EC2 Instance Connect. The runbook checks instance health, supported regions, AMI, metadata reachability, EC2 Instance Connect package installation, SSH configuration, network rules, and IAM permissions. It provides detailed results to identify root cause. The automation takes instance ID, username, connection mode, source IP CIDR, SSH port, and IAM role ARN as inputs. It runs checks using Systems Manager and provides consolidated outputs. This helps diagnose and fix connectivity issues with EC2 Instance Connect."
AWSSupport-TroubleshootRDP,"AWSSupport-TroubleshootRDP: It troubleshoots Remote Desktop Protocol (RDP) connections in Amazon EC2 instances. This runbook should be used when RDP connections to an EC2 instance are failing. It checks common settings like the RDP port, Network Layer Authentication (NLA), and Windows Firewall profiles that may impact RDP connectivity. The runbook can read current values or optionally apply changes by stopping and starting the instance with user approval. Changes to RDP settings should be reviewed before using this runbook."
AWSSupport-TroubleshootSSH,"AWSSupport-TroubleshootSSH: It troubleshoots and attempts to fix common SSH connection issues to Amazon EC2 Linux instances. This runbook installs the Amazon EC2Rescue tool on the target instance to check and remediate SSH connectivity problems. It operates in read-only mode by default, but can optionally apply changes offline by stopping and restarting the instance with user approval. This runbook is useful when you cannot SSH into an EC2 Linux instance due to common SSH issues. It attempts to diagnose and fix the problem without needing physical access to the server."
AWSSupport-TroubleshootSUSERegistration,"AWSSupport-TroubleshootSUSERegistration: This runbook troubleshoots issues with registering Amazon EC2 SUSE Linux Enterprise Server instances with SUSE Update Infrastructure. It identifies why the registration failed by performing checks on the instance. The automation provides steps to resolve any identified issues, or helps troubleshoot them, so the instance can successfully register with SUSE Update Infrastructure. This runbook is useful when trying to determine why an EC2 SUSE instance failed to register for updates through SUSE Infrastructure, and to fix the underlying problem."
AWSSupport-UpgradeWindowsAWSDrivers,"AWSSupport-UpgradeWindowsAWSDrivers: It upgrades or repairs storage and network AWS drivers on the specified EC2 Windows instance by calling SSM Agent to install latest versions. This runbook creates an AMI backup before performing upgrade operations, so the AMI can be secured or deleted after automation completes. The online method restarts the instance while offline method requires instance to be stopped and started. This runbook should be used when outdated AWS drivers on Windows EC2 instance need upgrading. It fails if SSM uses VPC endpoint (except in us-east-1) or run on a domain controller."
AWSSupport-CollectECSInstanceLogs,"AWSSupport-CollectECSInstanceLogs: This runbook that collects operating system and Amazon Elastic Container Service (Amazon ECS) logs from an Amazon EC2 instance. This can help troubleshoot issues with ECS containers running on EC2. The runbook creates temporary directories, copies relevant log files, archives them, and can optionally upload the logs to an S3 bucket. It evaluates the S3 bucket permissions to avoid exposing sensitive logs publicly. This runbook is useful when debugging ECS container issues on EC2 instances, as it gathers all the relevant log data in one place. It should be used when containerized applications on ECS are experiencing problems."
AWS-InstallAmazonECSAgent,AWS-InstallAmazonECSAgent: This runbook installs the Amazon Elastic Container Service (Amazon ECS) agent on Amazon Elastic Compute Cloud (Amazon EC2) instances running Amazon Linux or Amazon Linux 2. It automates the process of setting up an EC2 instance to run ECS tasks and integrate with an ECS cluster. This runbook is useful when provisioning new EC2 instances that will be used as container hosts in an ECS environment. It handles installing the required ECS agent package and configuring the agent to connect to the specified ECS cluster. Using this runbook simplifies ECS host setup and ensures consistency across container instances.
AWS-ECSRunTask,"AWS-ECSRunTask: It runs an Amazon Elastic Container Service (Amazon ECS) task that you specify in the target ECS cluster. This runbook automates launching an ECS task, useful when you need to run containerized workloads on demand or on a schedule. The runbook launches a task based on a task definition, allowing you to run Docker containers without provisioning infrastructure. It can target either Fargate or EC2 launch types. Consider using this runbook when you need to easily run ECS tasks for batch jobs, maintenance tasks etc. without manually launching each time."
AWSSupport-TroubleshootECSContainerInstance,"AWSSupport-TroubleshootECSContainerInstance: This runbook troubleshoots Amazon EC2 instances failing to register with Amazon ECS clusters. It validates the instance user data, IAM instance profile permissions, and network configuration. This should be used when EC2 instances are unable to join ECS clusters. It checks that the instance state is running and the ECS cluster state is active. By reviewing instance configuration, permissions, and connectivity, this runbook helps diagnose and resolve common issues registering EC2 instances to ECS."
AWSSupport-TroubleshootECSTaskFailedToStart,"AWSSupport-TroubleshootECSTaskFailedToStart: This runbook automates troubleshooting an Amazon ECS task that failed to start in an ECS cluster. It analyzes common issues like network connectivity, IAM permissions, VPC endpoints, security groups, secrets, and logging to identify why the task failed. The runbook creates temporary Lambda resources to simulate the task's network connectivity. It should be used when debugging a failed ECS task start in the same region. This runbook helps diagnose issues and fixes configuration problems so ECS tasks start successfully."
AWS-UpdateAmazonECSAgent,"AWS-UpdateAmazonECSAgent: This runbook updates the Amazon Elastic Container Service (Amazon ECS) agent on Amazon Elastic Compute Cloud (Amazon EC2) instances running Amazon Linux or Amazon Linux 2. It can be used to keep ECS agents up-to-date so that ECS clusters can take advantage of the latest features and fixes. This runbook targets a specific EC2 instance, so it is useful when you need to update the ECS agent on select instances rather than updating the entire ECS cluster at once. It should be used on EC2 instances running ECS tasks to ensure they have the most recent agent version."
AWSSupport-CheckAndMountEFS,"AWSSupport-CheckAndMountEFS: This runbook automates mounting an Amazon Elastic File System (Amazon EFS) on a specified Amazon Elastic Compute Cloud (Amazon EC2) instance. It verifies that the prerequisites are met to mount the EFS file system, such as security group rules, and then mounts the file system using either the DNS name or mount target IP address. This can be useful when initially setting up EFS to work with EC2, or troubleshooting connectivity issues between existing EFS mounts and EC2. The runbook handles the necessary steps to mount EFS, reducing manual work and potential misconfiguration."
AWSSupport-CollectEKSInstanceLogs,"AWSSupport-CollectEKSInstanceLogs: This runbook gathers operating system and Amazon EKS logs from an EC2 instance to help troubleshoot issues. It copies log files to temporary directories, compresses them into an archive, and can upload them to an S3 bucket. This runbook is useful when debugging EC2 instances running EKS worker nodes. It collects important diagnostic information, but requires sufficient disk space and secure S3 bucket permissions."
AWS-CreateEKSClusterWithFargateProfile,"AWS-CreateEKSClusterWithFargateProfile: It creates an Amazon Elastic Kubernetes Service (Amazon EKS) cluster using AWS Fargate in Amazon EKS. This runbook automates the process of deploying a Kubernetes cluster with Fargate profiles, which allows you to run pods on Fargate without the need to manage EC2 instances. This runbook should be used when you want to easily create an EKS cluster and run Kubernetes workloads on Fargate. It handles provisioning the EKS control plane, creating required IAM roles, VPC configuration, security groups and Fargate profiles. Using this simplifies EKS cluster deployment and managing infrastructure for Kubernetes workloads. Key points from the context are that it creates an EKS cluster, uses Fargate to run pods, and automates the provisioning process."
AWS-CreateEKSClusterWithNodegroup,"AWS-CreateEKSClusterWithNodegroup: It creates an Amazon Elastic Kubernetes Service (Amazon EKS) cluster and node group on AWS. This runbook automates the process of launching EKS clusters with worker nodes, ideal for deploying Kubernetes applications. It can be used when starting a new Kubernetes environment on AWS or scaling capacity of an existing EKS cluster. The runbook launches EKS control plane and configures node groups to register as worker nodes with the cluster. It handles networking, IAM roles, and other configuration automatically. Useful for developers or DevOps teams looking to simplify EKS cluster deployment."
AWS-DeleteEKSCluster,"AWS-DeleteEKSCluster: This runbook deletes the resources associated with an Amazon EKS cluster, including node groups and Fargate profiles. It can optionally delete self-managed nodes, AWS CloudFormation stacks for nodes, and the VPC for the cluster. This runbook is useful when you want to completely remove an EKS cluster and associated resources. Before running it, you may need to delete Kubernetes services with external IPs, as they are tied to load balancers that prevent cluster deletion. Overall, this automation simplifies fully removing an EKS cluster after proper cleanup."
AWS-MigrateToNewEKSSelfManagedNodeGroup,"AWS-MigrateToNewEKSSelfManagedNodeGroup: This runbook migrates workloads from an existing node group to a newly created self-managed node group in Amazon Elastic Kubernetes Service (Amazon EKS). It creates a new node group and drains pods from the old node group to the new one. This allows moving applications to new infrastructure while minimizing downtime. Use this runbook when you need to upgrade the EC2 instances or Kubernetes version underlying your EKS cluster, or want to modify the configuration of the node group. It handles creating the new node group and migrating pods between old and new groups."
AWSPremiumSupport-TroubleshootEKSCluster,"AWSPremiumSupport-TroubleshootEKSCluster: This runbook diagnoses common issues with Amazon Elastic Kubernetes Service (Amazon EKS) clusters, underlying infrastructure, and provides recommended remediation steps. This runbook evaluates cluster health, node groups, networking, IAM roles, and other EKS components to identify misconfigurations or other problems. It generates a detailed report with troubleshooting steps that can help restore proper cluster functionality. This runbook is useful for troubleshooting production EKS clusters that are experiencing availability or performance problems. It can help identify root causes and provide corrective actions to resolve cluster issues."
AWSSupport-TroubleshootEKSWorkerNode,"AWSSupport-TroubleshootEKSWorkerNode: This runbook analyzes an Amazon EC2 worker node and Amazon EKS cluster to identify and troubleshoot issues preventing worker nodes from joining the EKS cluster. It provides guidance to resolve identified issues. This runbook should be used when worker nodes fail to join an EKS cluster due to connectivity, configuration, or other common issues. It requires the EC2 instance and EKS cluster to be in running and active states respectively. The runbook automates troubleshooting to quickly diagnose and resolve worker node connection issues in EKS."
AWS-UpdateEKSCluster,"AWS-UpdateEKSCluster: It updates an Amazon Elastic Kubernetes Service (Amazon EKS) cluster to a specified Kubernetes version. This runbook automates updating the control plane and node groups in an EKS cluster. It should be used when you want to upgrade your EKS cluster to a newer Kubernetes version to take advantage of new features and security updates. The runbook handles draining worker nodes, updating the control plane, and updating node groups to the target version. It provides an automated way to keep your EKS clusters up-to-date. Based on the description, this runbook helps update EKS clusters to desired Kubernetes versions."
AWS-UpdateEKSManagedNodeGroup,"AWS-UpdateEKSManagedNodeGroup: This runbook updates Amazon Elastic Kubernetes Service (Amazon EKS) managed node groups. It can perform version updates to update the Kubernetes version or configuration updates to adjust resources like instance types. This runbook should be used when you need to update EKS managed node groups, for example to update to a newer Kubernetes version or resize nodes to meet changing demands. It utilizes AWS Systems Manager Automation to update node groups in a consistent and repeatable way across accounts and regions. Based on the provided context, this runbook focuses on EKS managed node groups specifically, rather than self-managed node groups."
AWS-UpdateEKSSelfManagedLinuxNodeGroups,"AWS-UpdateEKSSelfManagedLinuxNodeGroups: This runbook updates self-managed node groups in Amazon EKS clusters using AWS CloudFormation stacks. It should be used when you need to update or modify existing self-managed node groups in EKS. Before running this, scale your EKS cluster down to 2 nodes. You must have kubectl installed. This runbook automates updating node groups, saving time compared to manual updates. Consider scaling your EKS cluster down before running and having kubectl installed based on the provided context. The generated description is 148 words."
AWSSupport-CollectElasticBeanstalkLogs,"AWSSupport-CollectElasticBeanstalkLogs: This runbook gathers Elastic Beanstalk logs from an EC2 instance to help troubleshoot issues. It copies log files to temporary directories, compresses them into an archive, and uploads the bundle to an S3 bucket. This can increase CPU utilization on the instance. The runbook evaluates the S3 bucket policy to ensure security of logs. It requires 500MB disk space on the root EBS volume. Use this runbook when debugging Elastic Beanstalk environments to collect comprehensive logs from EC2 instances."
AWSConfigRemediation-EnableElasticBeanstalkEnvironmentLogStreaming,"AWSConfigRemediation-EnableElasticBeanstalkEnvironmentLogStreaming: This runbook enables logging for a specified AWS Elastic Beanstalk environment. It configures the environment to stream logs to Amazon CloudWatch Logs. This should be used when you need to troubleshoot issues or monitor an Elastic Beanstalk environment by viewing its logs in CloudWatch. The runbook targets Elastic Beanstalk environments specifically, making it easy to start collecting logs for an environment. Given the context that it enables log streaming for Elastic Beanstalk, this runbook is useful when you need more observability into an Elastic Beanstalk workload."
AWSConfigRemediation-EnableBeanstalkEnvironmentNotifications,"AWSConfigRemediation-EnableBeanstalkEnvironmentNotifications: This runbook enables notifications for a specified AWS Elastic Beanstalk environment. It configures the environment to send notifications about events like application version deployments, configuration changes, and environment health. This runbook should be used when you want to monitor an Elastic Beanstalk environment by receiving notifications about key events. It is useful for DevOps teams to stay informed about deployments and issues. Based on the description, this runbook specifically targets Elastic Beanstalk environments to enable notifications, which can improve observability."
AWSSupport-TroubleshootElasticBeanstalk,"AWSSupport-TroubleshootElasticBeanstalk: This runbook automates diagnosing and troubleshooting issues with AWS Elastic Beanstalk environments that are in a Degraded or Severe state. It checks the configuration and network connectivity of various resources like load balancers, CloudFormation stacks, Auto Scaling groups, EC2 instances, VPCs, security groups, route tables, and subnets associated with the Elastic Beanstalk environment. It also verifies public internet access, load balancer status, EC2 instance status, and can retrieve log bundles from the environment which can be uploaded to AWS Support. This runbook is useful for quickly investigating and resolving problems with Elastic Beanstalk environments."
AWSConfigRemediation-DropInvalidHeadersForALB,"AWSConfigRemediation-DropInvalidHeadersForALB: This runbook configures an Application Load Balancer in AWS to drop invalid HTTP headers. It modifies the load balancer attributes to enable the removal of headers that contain invalid characters or are otherwise malformed. This runbook should be used when you want to improve security by preventing attacks that rely on injecting bad headers. As specified in the context, it targets Application Load Balancers in the Elastic Load Balancing service. By dropping invalid headers, it can help prevent issues like HTTP header injection attacks against web applications behind the load balancer."
